sample_index,can_id,can_id_hex,signal,node,timestamp_ms,value,units,raw_data
39360,177,0x0B1,front_brake_pressure,brake_node_1,213667,0,psi_x10,917692777234432
39361,178,0x0B2,rear_brake_pressure,brake_node_1,213667,1945,psi_x10,917692777236377
39362,1795,0x703,engine_rpm,master,213668,260,rpm,917697072201988
39363,177,0x0B1,front_brake_pressure,brake_node_1,213677,0,psi_x10,917735726907392
39364,178,0x0B2,rear_brake_pressure,brake_node_1,213677,1945,psi_x10,917735726909337
39365,177,0x0B1,front_brake_pressure,brake_node_1,213687,0,psi_x10,917778676580352
39366,178,0x0B2,rear_brake_pressure,brake_node_1,213687,1945,psi_x10,917778676582297
39367,1795,0x703,engine_rpm,master,213688,260,rpm,917782971547908
39368,177,0x0B1,front_brake_pressure,brake_node_1,213697,0,psi_x10,917821626253312
39369,178,0x0B2,rear_brake_pressure,brake_node_1,213697,1945,psi_x10,917821626255257
39370,177,0x0B1,front_brake_pressure,brake_node_1,213707,0,psi_x10,917864575926272
39371,178,0x0B2,rear_brake_pressure,brake_node_1,213707,1945,psi_x10,917864575928217
39372,1795,0x703,engine_rpm,master,213708,260,rpm,917868870893828
39373,177,0x0B1,front_brake_pressure,brake_node_1,213717,0,psi_x10,917907525599232
39374,178,0x0B2,rear_brake_pressure,brake_node_1,213717,1945,psi_x10,917907525601177
39375,177,0x0B1,front_brake_pressure,brake_node_1,213727,0,psi_x10,917950475272192
39376,178,0x0B2,rear_brake_pressure,brake_node_1,213727,1945,psi_x10,917950475274137
39377,1795,0x703,engine_rpm,master,213728,260,rpm,917954770239748
39378,177,0x0B1,front_brake_pressure,brake_node_1,213737,0,psi_x10,917993424945152
39379,178,0x0B2,rear_brake_pressure,brake_node_1,213737,1945,psi_x10,917993424947097
39380,177,0x0B1,front_brake_pressure,brake_node_1,213747,0,psi_x10,918036374618112
39381,178,0x0B2,rear_brake_pressure,brake_node_1,213747,1945,psi_x10,918036374620057
39382,1795,0x703,engine_rpm,master,213748,260,rpm,918040669585668
39383,177,0x0B1,front_brake_pressure,brake_node_1,213757,0,psi_x10,918079324291072
